,0
1444,18
1445,10
1446,1
1447,9
1448,15
1449,20
1450,3
1451,86
1452,8
1453,36
1454,60
1455,7
1456,29
1457,13
1458,41
1459,6
1460,2
1461,16
1462,19
1463,1
1464,0
1465,12
1466,15
1467,2
1468,5
1469,17
1470,8
1471,25
1472,19
1473,0
1474,2
1475,48
1476,56
1477,19
1478,22
1479,24
1480,36
1481,3
1482,7
1483,13
1484,11
1485,21
1486,6
1487,6
1488,3
1489,7
1490,9
1491,2
1492,6
1493,8
1494,30
1495,75
1496,26
1497,58
1498,12
1499,9
1500,0
1501,5
1502,2
1503,3
1504,35
1505,188
1506,34
1507,12
1508,16
1509,13
1510,13
1511,15
1512,266
1513,73
1514,1
1515,226
1516,29
1517,9
1518,6
1519,13
1520,156
1521,16
1522,3
1523,73
1524,4
1525,14
1526,16
1527,35
1528,76
1529,10
1530,2
1531,4
1532,3
1533,5
1534,27
1535,1
1536,0
1537,8
1538,83
1539,1
1540,11
1541,21
1542,43
1543,4
1544,14
1545,3
1546,27
1547,11
1548,18
1549,55
1550,59
1551,15
1552,3
1553,18
1554,21
1555,13
1556,228
1557,9
1558,6
1559,7
1560,34
1561,2
1562,25
1563,12
1564,1
1565,8
1566,5
1567,8
1568,6
1569,1
1570,51
1571,13
1572,29
1573,8
1574,73
1575,8
1576,7
1577,0
1578,3
1579,3
1580,39
1581,16
1582,31
1583,0
1584,10
1585,1
1586,14
1587,54
1588,55
1589,19
1590,13
1591,13
1592,5
1593,6
1594,23
1595,1
1596,1
1597,38
1598,40
1599,6
1600,3
1601,1
1602,2
1603,3
1604,12
1605,11
1606,70
1607,2
1608,4
1609,115
1610,3
1611,3
1612,0
1613,21
1614,59
1615,3
1616,11
1617,6
1618,4
1619,37
1620,2
1621,3
1622,8
1623,12
1624,22
1625,3
1626,9
1627,6
1628,6
1629,6
1630,17
1631,10
1632,11
1633,15
1634,49
1635,4
1636,34
1637,10
1638,8
1639,22
1640,1
1641,4
1642,303
1643,350
1644,9
1645,1
1646,6
1647,6
1648,1
1649,4
1650,27
1651,49
1652,33
1653,10
1654,6
1655,43
1656,18
1657,6
1658,3
1659,11
1660,2
1661,7
1662,24
1663,2
1664,12
1665,0
1666,60
1667,27
1668,5
1669,10
1670,3
1671,7
1672,42
1673,36
1674,0
1675,1
1676,4
1677,7
1678,1
1679,2
1680,2
1681,11
1682,32
1683,260
1684,11
1685,10
1686,47
1687,2
1688,6
1689,5
1690,10
1691,79
1692,51
1693,68
1694,1
1695,7
1696,19
1697,2
1698,6
1699,6
1700,8
1701,19
1702,12
1703,25
1704,1
1705,2
1706,17
1707,39
1708,70
1709,1
1710,4
1711,11
1712,1
1713,80
1714,17
1715,11
1716,7
1717,0
1718,23
1719,1
1720,2
1721,8
1722,5
1723,28
1724,56
1725,16
1726,3
1727,5
1728,0
1729,79
1730,6
1731,8
1732,4
1733,65
1734,3
1735,8
1736,1
1737,143
1738,17
1739,5
1740,5
1741,55
1742,3
1743,10
1744,34
1745,12
1746,12
1747,7
1748,15
1749,24
1750,10
1751,9
1752,34
1753,15
1754,15
1755,4
1756,8
1757,83
1758,19
1759,6
1760,24
1761,2
1762,7
1763,3
1764,5
1765,510
1766,184
1767,7
1768,3
1769,11
1770,2
1771,16
1772,25
1773,34
1774,15
1775,6
1776,2
1777,4
1778,1
1779,4
1780,0
1781,52
1782,17
1783,27
1784,2
1785,4
1786,42
1787,9
1788,35
1789,6
1790,7
1791,5
1792,58
1793,1
1794,3
1795,3
1796,16
1797,9
1798,12
1799,15
1800,164
1801,2
1802,10
1803,18
1804,45
1805,1
1806,29
1807,30
1808,6
1809,27
1810,30
1811,5
1812,16
1813,0
1814,4
1815,2
1816,4
1817,77
1818,17
1819,26
1820,21
1821,10
1822,5
1823,5
1824,27
1825,662
1826,4
1827,63
1828,19
1829,3
1830,44
1831,14
1832,9
1833,0
1834,5
1835,87
1836,638
1837,25
1838,2
1839,18
1840,2
1841,325
1842,15
1843,5
1844,9
1845,33
1846,24
1847,4
1848,13
1849,7
1850,65
1851,3
1852,8
1853,22
1854,2
1855,39
1856,11
1857,10
1858,2
1859,8
1860,2
1861,102
1862,3
1863,8
1864,10
1865,3
1866,11
1867,4
1868,132
1869,14
1870,160
1871,9
1872,3
1873,28
1874,5
1875,9
1876,21
1877,24
1878,3
1879,14
1880,12
1881,9
1882,1
1883,2
1884,5
1885,9
1886,37
1887,21
1888,8
1889,39
1890,41
1891,3
1892,5
1893,7
1894,3
1895,8
1896,0
1897,12
1898,10
1899,21
1900,1
1901,110
1902,56
1903,23
1904,10
1905,4
1906,66
1907,17
1908,61
1909,4
1910,207
1911,19
1912,4
1913,15
1914,3
1915,21
1916,3
1917,21
1918,10
1919,23
1920,117
1921,6
1922,1
1923,2
1924,2283
1925,2
1926,0
1927,6
1928,19
1929,12
1930,19
1931,13
1932,2
