,0
2213,24
2214,0
2215,38
2216,36
2217,16
2218,34
2219,13
2220,21
2221,17
2222,9
2223,12
2224,4
2225,1
2226,37
2227,0
2228,6
2229,1
2230,3
2231,13
2232,18
2233,13
2234,6
2235,20
2236,119
2237,71
2238,6
2239,23
2240,9
2241,1
2242,2
2243,1
2244,1
2245,3
2246,0
2247,0
2248,15
2249,24
2250,8
2251,1
2252,20
2253,10
2254,12
2255,221
2256,1
2257,32
2258,136
2259,11
2260,31
2261,16
2262,8
2263,8
2264,10
2265,8
2266,8
2267,0
2268,0
2269,15
2270,9
2271,10
2272,53
2273,17
2274,5
2275,22
2276,7
2277,89
2278,4
2279,0
2280,0
2281,0
2282,6
2283,2
2284,48
2285,3
2286,4
2287,15
2288,0
2289,17
2290,42
2291,1
2292,38
2293,3
2294,4
2295,42
2296,62
2297,22
2298,17
2299,9
2300,14
2301,9
2302,15
2303,5
2304,8
2305,15
2306,12
2307,22
2308,14
2309,6
2310,2
2311,10
2312,0
2313,2
2314,60
2315,7
2316,71
2317,3
2318,8
2319,33
2320,0
2321,2
2322,28
2323,3
2324,15
2325,70
2326,40
2327,113
2328,6
2329,5
2330,1
2331,10
2332,0
2333,1
2334,3
2335,10
2336,2
2337,41
2338,14
2339,16
2340,14
2341,6
2342,30
2343,15
2344,7
2345,3
2346,1
2347,5
2348,30
2349,33
2350,11
2351,1
2352,1
2353,14
2354,27
2355,4
2356,3
2357,5
2358,19
2359,49
2360,9
2361,6
2362,11
2363,11
2364,14
2365,9
2366,12
2367,12
2368,4
2369,8
2370,7
2371,1
2372,14
2373,1
2374,37
2375,5
2376,29
2377,41
2378,21
2379,3
2380,23
2381,3
2382,0
2383,94
2384,8
2385,34
2386,30
2387,23
2388,29
2389,0
2390,0
2391,6
2392,15
2393,6
2394,9
2395,4
2396,0
2397,9
2398,32
2399,7
2400,19
2401,6
2402,24
2403,13
2404,2
2405,14
2406,11
2407,4
2408,6
2409,6
2410,14
2411,5
2412,4
2413,78
2414,8
2415,32
2416,16
2417,7
2418,85
2419,24
2420,20
2421,7
2422,13
2423,15
2424,8
2425,5
2426,3
2427,7
2428,19
2429,27
2430,12
2431,10
2432,27
2433,42
2434,6
2435,19
2436,0
2437,36
2438,290
2439,46
2440,19
2441,12
2442,34
2443,43
2444,0
2445,42
2446,2
2447,2
2448,5
2449,4
2450,61
2451,5
2452,10
2453,1
2454,9
2455,12
2456,23
2457,27
2458,7
2459,80
2460,13
2461,4
2462,21
2463,37
2464,0
2465,28
2466,26
2467,8
2468,5
2469,19
2470,18
2471,13
2472,3
2473,11
2474,54
2475,5
2476,4
2477,26
2478,6
2479,3
2480,6
2481,8
2482,42
2483,25
2484,121
2485,58
2486,9
2487,20
2488,4
2489,84
2490,3
2491,7
2492,33
2493,31
2494,1
2495,41
2496,2
2497,110
2498,0
2499,57
2500,45
2501,7
2502,5
2503,2
2504,4
2505,4
2506,49
2507,6
2508,12
2509,4
2510,12
2511,14
2512,20
2513,8
2514,7
2515,40
2516,5
2517,13
2518,9
2519,2
2520,0
2521,12
2522,55
2523,48
2524,36
2525,2
2526,10
2527,13
2528,0
2529,35
2530,0
2531,5
2532,9
2533,63
2534,9
2535,10
2536,7
2537,0
2538,8
2539,2
2540,2
2541,3
2542,53
2543,22
2544,6
2545,10
2546,3
2547,5
2548,28
2549,4
2550,65
2551,5
2552,1
2553,21
2554,8
2555,14
2556,8
2557,31
2558,30
2559,184
2560,59
2561,1
2562,12
2563,7
2564,22
2565,13
2566,47
2567,4
2568,21
2569,2
2570,8
2571,11
2572,6
2573,2
2574,4
2575,18
2576,10
2577,9
2578,32
2579,7
2580,13
2581,74
2582,5
2583,30
2584,122
2585,18
2586,7
2587,12
2588,5
2589,14
2590,2
2591,13
2592,48
2593,0
2594,2
2595,32
2596,19
2597,8
2598,19
2599,12
2600,6
2601,3
2602,4
2603,73
2604,14
2605,15
2606,18
2607,42
2608,25
2609,20
2610,28
2611,0
2612,12
2613,9
2614,5
2615,8
2616,34
2617,4
2618,6
2619,1
2620,56
2621,15
2622,3
2623,6
2624,68
2625,1
2626,2
2627,4
2628,36
2629,13
2630,18
2631,99
2632,23
2633,14
2634,0
2635,16
2636,57
2637,4
2638,4
2639,4
2640,14
2641,15
2642,5
2643,23
2644,5
2645,17
2646,16
2647,0
2648,77
2649,9
2650,3
2651,8
2652,4
2653,14
2654,38
2655,6
2656,4
2657,2
2658,2
2659,20
2660,1
2661,32
2662,0
2663,18
2664,1
2665,51
2666,60
2667,12
2668,6
2669,65
2670,0
2671,10
2672,1
2673,16
2674,1
2675,15
2676,17
2677,2
2678,3
2679,7
2680,17
2681,47
2682,71
2683,12
2684,6
2685,18
2686,20
2687,4
2688,20
2689,19
2690,1
2691,2
2692,20
2693,4
2694,16
2695,14
2696,7
2697,9
2698,9
2699,10
2700,35
2701,24
2702,60
2703,48
2704,12
2705,10
2706,1
2707,8
2708,1
2709,6
2710,33
2711,22
2712,18
2713,30
2714,14
2715,12
2716,0
2717,3
2718,90
2719,60
2720,3
2721,0
2722,17
2723,20
2724,52
2725,2
2726,0
2727,199
2728,30
2729,2
2730,11
2731,34
2732,1
2733,13
2734,11
2735,43
2736,24
2737,27
2738,9
2739,6
2740,7
2741,20
2742,28
2743,24
2744,16
2745,36
2746,6
2747,14
2748,127
2749,4
2750,7
2751,40
2752,5
2753,17
2754,14
2755,9
2756,9
2757,8
2758,133
2759,9
2760,29
2761,12
2762,45
2763,8
2764,4
2765,0
2766,29
2767,16
2768,5
2769,17
2770,5
2771,46
2772,20
2773,6
2774,4
2775,2
2776,42
2777,9
2778,3
2779,18
2780,5
2781,0
2782,14
2783,40
2784,9
2785,1
